No,Gender,Age,Respositories,Stars,PU1,PU2,PU3,PU4,PU5,PEOU1,PEOU2,PEOU3,PEOU4,AT1,AT2,AT3,AT4,CITU1,CITU2,CITU3,AU1,AU2,AU3,LT1,LT2,LT3,LT4,LT5,CO1,CO2,CO3,PS1,PS2,PS3,CT1,CT2,CT3,DB1,DB2,DB3,GSE1,GSE2,GSE3,GSE4,GSE5,GSE6,GSE7,GSE8
19,1,19,0,0,4,4,5,5,4,3,3,3,3,5,5,5,5,5,5,5,1,3,5,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,2,2,3,4,4,5,4,4
20,1,19,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3
21,1,20,0,0,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,2,3,4,4,3,4,3,3,4,4,4,3,3,4,4,4,4,3,3,3,2,2,3,4,4,5,5,2
22,1,21,0,0,5,4,4,4,4,4,3,3,3,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,2,3,3,4,4,4,3
23,2,19,1,0,4,4,4,4,4,3,3,1,3,5,5,5,5,5,5,5,3,3,3,4,4,4,4,4,5,5,5,1,1,1,2,2,3,1,1,1,4,2,5,5,5,5,5,5
24,1,20,0,0,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,2,2,2,4,4,4,4,4,5,5,4,2,2,3,3,3,3,4,4,3,5,5,5,5,3,3,3,4
25,2,21,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4
26,1,19,0,0,4,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,4,5,4,5,4,3,3,4,5,4,5,2,2,4,5,4,4,3,3,4,3,2,4,4,5,5,5,3
27,1,20,0,0,4,4,4,5,4,3,3,2,2,4,5,4,4,4,3,3,2,5,3,3,3,3,4,4,5,5,5,2,2,2,2,2,2,2,2,2,2,2,3,3,4,5,5,3
28,1,20,0,0,4,4,4,4,4,2,2,2,4,3,4,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,3,2,2,2,3,3,4,4,3,3,5,5,5,5,5,5,5,5
29,1,19,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
30,1,22,0,0,5,5,5,5,5,3,5,3,4,5,5,5,5,5,5,5,1,1,3,4,3,3,3,4,5,3,3,4,3,2,1,1,1,1,1,1,5,4,5,5,5,4,5,5
31,2,19,0,0,5,5,5,5,5,1,1,4,3,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,4,3,4,3,4,1,1,1,1,1,5,5,1
